Bias,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Pclass2,Fare2
1,3,2,22,1,0,7.25,2,9,0.800691465
1,1,1,38,1,0,71.2833,1,1,1.090777701
1,3,1,26,0,0,7.925,2,9,0.801282346
1,1,1,35,1,0,53.1,2,1,0.960310252
1,3,2,35,0,0,8.05,2,9,0.801397537
1,3,2,28.76,0,0,8.4583,3,9,0.801786358
1,1,2,54,0,0,51.8625,2,1,0.952817407
1,3,2,2,3,1,21.075,2,9,0.823280749
1,3,1,27,0,2,11.1333,2,9,0.804809517
1,2,1,14,1,0,30.0708,1,4,0.849821741
1,3,1,4,1,1,16.7,2,9,0.813747302
1,1,1,58,0,0,26.55,2,1,0.838322088
1,3,2,20,0,0,8.05,2,9,0.801397537
1,3,2,39,1,5,31.275,2,9,0.854083127
1,3,1,14,0,0,7.8542,2,9,0.801217902
1,2,1,55,0,0,16,2,4,0.812426879
1,3,2,2,4,1,29.125,3,9,0.846592075
1,2,2,28.76,0,0,13,2,4,0.807408232
1,3,1,31,1,0,18,2,9,0.8163495
1,3,1,28.76,0,0,7.225,1,9,0.800670591
1,2,2,35,0,0,26,2,4,0.83665483
1,2,2,34,0,0,13,2,4,0.807408232
1,3,1,15,0,0,8.0292,3,9,0.801378244
1,1,2,28,0,0,35.5,2,1,0.87035764
1,3,1,8,3,1,21.075,2,9,0.823280749
1,3,1,38,1,5,31.3875,2,9,0.854489783
1,3,2,28.76,0,0,7.225,1,9,0.800670591
1,1,2,19,3,2,263,2,1,4.787714415
1,3,1,28.76,0,0,7.8792,3,9,0.801240592
1,3,2,28.76,0,0,7.8958,2,9,0.801255697
1,1,2,40,0,0,27.7208,1,1,0.841987445
1,1,1,28.76,1,0,146.5208,1,1,2.036073651
1,3,1,28.76,0,0,7.75,3,9,0.801124107
1,2,2,66,0,0,10.5,2,4,0.804019203
1,1,2,28,1,0,82.1708,1,1,1.187154845
1,1,2,42,1,0,52,2,1,0.95364122
1,3,2,28.76,0,0,7.2292,1,9,0.800674092
1,3,2,21,0,0,8.05,2,9,0.801397537
1,3,1,18,2,0,18,2,9,0.8163495
1,3,1,14,1,0,11.2417,1,9,0.804949431
1,3,1,40,1,0,9.475,2,9,0.802838127
1,2,1,27,1,0,21,2,4,0.823098715
1,3,2,28.76,0,0,7.8958,1,9,0.801255697
1,2,1,3,1,2,41.5792,1,4,0.897387949
1,3,1,19,0,0,7.8792,3,9,0.801240592
1,3,2,28.76,0,0,8.05,2,9,0.801397537
1,3,2,28.76,1,0,15.5,3,9,0.811518331
1,3,1,28.76,0,0,7.75,3,9,0.801124107
1,3,2,28.76,2,0,21.6792,1,9,0.824770888
1,3,1,18,1,0,17.8,2,9,0.815936471
1,3,2,7,4,1,39.6875,2,9,0.888519815
1,3,2,21,0,0,7.8,2,9,0.801168958
1,1,1,49,1,0,76.7292,1,1,1.137275826
1,2,1,29,1,0,26,2,4,0.83665483
1,1,2,65,0,1,61.9792,1,1,1.019254043
1,1,2,28.76,0,0,35.5,2,1,0.87035764
1,2,1,21,0,0,10.5,2,4,0.804019203
1,3,2,28.5,0,0,7.2292,1,9,0.800674092
1,2,1,5,1,2,27.75,2,4,0.842080881
1,3,2,11,5,2,46.9,2,9,0.924545182
1,3,2,22,0,0,7.2292,1,9,0.800674092
1,1,1,38,0,0,80,2,1,1.166847186
1,1,2,45,1,0,83.475,2,1,1.199616968
1,3,2,4,3,2,27.9,2,9,0.842562412
1,1,2,28.76,0,0,27.7208,1,1,0.841987445
1,3,2,28.76,1,1,15.2458,1,9,0.811067484
1,2,1,29,0,0,10.5,2,4,0.804019203
1,3,2,19,0,0,8.1583,2,9,0.801498796
1,3,1,17,4,2,7.925,2,9,0.801282346
1,3,2,26,2,0,8.6625,2,9,0.80198803
1,2,2,32,0,0,10.5,2,4,0.804019203
1,3,1,16,5,2,46.9,2,9,0.924545182
1,2,2,21,0,0,73.5,2,4,1.109291382
1,3,2,26,1,0,14.4542,1,9,0.809711266
1,3,2,32,0,0,56.4958,2,9,0.981778836
1,3,2,25,0,0,7.65,2,9,0.801035272
1,3,2,28.76,0,0,7.8958,2,9,0.801255697
1,3,2,28.76,0,0,8.05,2,9,0.801397537
1,2,2,0.83,0,2,29,2,4,0.846172953
1,3,1,30,0,0,12.475,2,9,0.806636723
1,3,2,22,0,0,9,2,9,0.8023319
1,3,2,29,0,0,9.5,2,9,0.802865491
1,3,1,28.76,0,0,7.7875,3,9,0.801157718
1,1,2,28,0,0,47.1,2,1,0.925629671
1,2,1,17,0,0,10.5,2,4,0.804019203
1,3,1,33,3,0,15.85,2,9,0.812151286
1,3,2,16,1,3,34.375,2,9,0.865823011
1,3,2,28.76,0,0,8.05,2,9,0.801397537
1,1,1,23,3,2,263,2,1,4.787714415
1,3,2,24,0,0,8.05,2,9,0.801397537
1,3,2,29,0,0,8.05,2,9,0.801397537
1,3,2,20,0,0,7.8542,2,9,0.801217902
1,1,2,46,1,0,61.175,2,1,1.013540826
1,3,2,26,1,2,20.575,2,9,0.822079446
1,3,2,59,0,0,7.25,2,9,0.800691465
1,3,2,28.76,0,0,8.05,2,9,0.801397537
1,1,2,71,0,0,34.6542,1,1,0.866934783
1,1,2,23,0,1,63.3583,1,1,1.029225168
1,2,1,34,0,1,23,2,4,0.828175047
1,2,2,34,1,0,26,2,4,0.83665483
1,3,1,28,0,0,7.8958,2,9,0.801255697
1,3,2,28.76,0,0,7.8958,2,9,0.801255697
1,1,2,21,0,1,77.2875,2,1,1.142236068
1,3,2,33,0,0,8.6542,2,9,0.801979739
1,3,2,37,2,0,7.925,2,9,0.801282346
1,3,2,28,0,0,7.8958,2,9,0.801255697
1,3,1,21,0,0,7.65,2,9,0.801035272
1,3,2,28.76,0,0,7.775,2,9,0.801146497
1,3,2,38,0,0,7.8958,2,9,0.801255697
1,3,1,28.76,1,0,24.15,3,9,0.831302904
1,1,2,47,0,0,52,2,1,0.95364122
1,3,1,14.5,1,0,14.4542,1,9,0.809711266
1,3,2,22,0,0,8.05,2,9,0.801397537
1,3,1,20,1,0,9.825,2,9,0.803227793
1,3,1,17,0,0,14.4583,1,9,0.809718104
1,3,2,21,0,0,7.925,2,9,0.801282346
1,3,2,70.5,0,0,7.75,3,9,0.801124107
1,2,2,29,1,0,21,2,4,0.823098715
1,1,2,24,0,1,247.5208,1,1,4.331856664
1,3,1,2,4,2,31.275,2,9,0.854083127
1,2,2,21,2,0,73.5,2,4,1.109291382
1,3,2,28.76,0,0,8.05,2,9,0.801397537
1,2,2,32.5,1,0,30.0708,1,4,0.849821741
1,2,1,32.5,0,0,13,2,4,0.807408232
1,1,2,54,0,1,77.2875,2,1,1.142236068
1,3,2,12,1,0,11.2417,1,9,0.804949431
1,3,2,28.76,0,0,7.75,3,9,0.801124107
1,3,2,24,0,0,7.1417,2,9,0.800601556
1,3,1,28.76,1,1,22.3583,1,9,0.826496026
1,3,2,45,0,0,6.975,2,9,0.800465807
1,3,2,33,0,0,7.8958,1,9,0.801255697
1,3,2,20,0,0,7.05,2,9,0.800526485
1,3,1,47,1,0,14.5,2,9,0.809787763
1,2,1,29,1,0,26,2,4,0.83665483
1,2,2,25,0,0,13,2,4,0.807408232
1,2,2,23,0,0,15.0458,1,4,0.810718007
1,1,1,19,0,2,26.2833,2,1,0.837509261
1,1,2,37,1,0,53.1,2,1,0.960310252
1,3,2,16,0,0,9.2167,2,9,0.802559617
1,1,2,24,0,0,79.2,1,1,1.159500349
1,3,1,28.76,0,2,15.2458,1,9,0.811067484
1,3,1,22,0,0,7.75,2,9,0.801124107
1,3,1,24,1,0,15.85,2,9,0.812151286
1,3,2,19,0,0,6.75,3,9,0.800287666
1,2,2,18,0,0,11.5,2,4,0.805288286
1,2,2,19,1,1,36.75,2,4,0.87556737
1,3,2,27,0,0,7.7958,2,9,0.801165179
1,3,1,9,2,2,34.375,2,9,0.865823011
1,2,2,36.5,0,2,26,2,4,0.83665483
1,2,2,42,0,0,13,2,4,0.807408232
1,2,2,51,0,0,12.525,2,4,0.80670883
1,1,1,22,1,0,66.6,2,1,1.053527292
1,3,2,55.5,0,0,8.05,2,9,0.801397537
1,3,2,40.5,0,2,14.5,2,9,0.809787763
1,3,2,28.76,0,0,7.3125,2,9,0.800743968
1,1,2,51,0,1,61.3792,1,1,1.014984441
1,3,1,16,0,0,7.7333,3,9,0.801109192
1,3,2,30,0,0,8.05,2,9,0.801397537
1,3,2,28.76,0,0,8.6625,2,9,0.80198803
1,3,2,28.76,8,2,69.55,2,9,1.07669628
1,3,2,44,0,1,16.1,2,9,0.81261205
1,2,1,40,0,0,15.75,2,4,0.811969
1,3,2,26,0,0,7.775,2,9,0.801146497
1,3,2,17,0,0,8.6625,2,9,0.80198803
1,3,2,1,4,1,39.6875,2,9,0.888519815
1,3,2,9,0,2,20.525,2,9,0.821960902
1,1,1,28.76,0,1,55,2,1,0.972158297
1,3,1,45,1,4,27.9,2,9,0.842562412
1,1,2,28.76,0,0,25.925,2,1,0.83643018
1,3,2,28,0,0,56.4958,2,9,0.981778836
1,1,2,61,0,0,33.5,2,1,0.862397027
1,3,2,4,4,1,29.125,3,9,0.846592075
1,3,1,1,1,1,11.1333,2,9,0.804809517
1,3,2,21,0,0,7.925,2,9,0.801282346
1,1,2,56,0,0,30.6958,1,1,0.85201259
1,3,2,18,1,1,7.8542,2,9,0.801217902
1,3,2,28.76,3,1,25.4667,2,9,0.835071522
1,1,1,50,0,0,28.7125,1,1,0.845215814
1,2,2,30,0,0,13,2,4,0.807408232
1,3,2,36,0,0,0,2,9,0.797659366
1,3,1,28.76,8,2,69.55,2,9,1.07669628
1,2,2,28.76,0,0,15.05,1,4,0.810725298
1,3,2,9,4,2,31.3875,2,9,0.854489783
1,2,2,1,2,1,39,2,4,0.885399159
1,3,1,4,0,2,22.025,2,9,0.825642685
1,1,2,28.76,0,0,50,2,1,0.941873358
1,3,1,28.76,1,0,15.5,3,9,0.811518331
1,1,2,45,0,0,26.55,2,1,0.838322088
1,3,2,40,1,1,15.5,3,9,0.811518331
1,3,2,36,0,0,7.8958,2,9,0.801255697
1,2,1,32,0,0,13,2,4,0.807408232
1,2,2,19,0,0,13,2,4,0.807408232
1,3,1,19,1,0,7.8542,2,9,0.801217902
1,2,2,3,1,1,26,2,4,0.83665483
1,1,1,44,0,0,27.7208,1,1,0.841987445
1,1,1,58,0,0,146.5208,1,1,2.036073651
1,3,2,28.76,0,0,7.75,3,9,0.801124107
1,3,2,42,0,1,8.4042,2,9,0.801733733
1,3,1,28.76,0,0,7.75,3,9,0.801124107
1,2,1,24,0,0,13,2,4,0.807408232
1,3,2,28,0,0,9.5,2,9,0.802865491
1,3,2,28.76,8,2,69.55,2,9,1.07669628
1,3,2,34,0,0,6.4958,2,9,0.800093434
1,3,2,45.5,0,0,7.225,1,9,0.800670591
1,3,2,18,0,0,8.05,2,9,0.801397537
1,3,1,2,0,1,10.4625,2,9,0.803973857
1,3,2,32,1,0,15.85,2,9,0.812151286
1,3,2,26,0,0,18.7875,1,9,0.81802066
1,3,1,16,0,0,7.75,3,9,0.801124107
1,1,2,40,0,0,31,1,1,0.853095225
1,3,2,24,0,0,7.05,2,9,0.800526485
1,2,1,35,0,0,21,2,4,0.823098715
1,3,2,22,0,0,7.25,2,9,0.800691465
1,2,2,30,0,0,13,2,4,0.807408232
1,3,2,28.76,1,0,7.75,3,9,0.801124107
1,1,1,31,1,0,113.275,1,1,1.537836275
1,3,1,27,0,0,7.925,2,9,0.801282346
1,2,2,42,1,0,27,2,4,0.839712166
1,1,1,32,0,0,76.2917,1,1,1.133413969
1,2,2,30,0,0,10.5,2,4,0.804019203
1,3,2,16,0,0,8.05,2,9,0.801397537
1,2,2,27,0,0,13,2,4,0.807408232
1,3,2,51,0,0,8.05,2,9,0.801397537
1,3,2,28.76,0,0,7.8958,2,9,0.801255697
1,1,2,38,1,0,90,2,1,1.264912701
1,3,2,22,0,0,9.35,2,9,0.802702385
1,2,2,19,0,0,10.5,2,4,0.804019203
1,3,2,20.5,0,0,7.25,2,9,0.800691465
1,2,2,18,0,0,13,2,4,0.807408232
1,3,1,28.76,3,1,25.4667,2,9,0.835071522
1,1,1,35,1,0,83.475,2,1,1.199616968
1,3,2,29,0,0,7.775,2,9,0.801146497
1,2,2,59,0,0,13.5,2,4,0.808172566
1,3,1,5,4,2,31.3875,2,9,0.854489783
1,2,2,24,0,0,10.5,2,4,0.804019203
1,3,1,28.76,0,0,7.55,2,9,0.80094759
1,2,2,44,1,0,26,2,4,0.83665483
1,2,1,8,0,2,26.25,2,4,0.837408348
1,2,2,19,0,0,10.5,2,4,0.804019203
1,2,2,33,0,0,12.275,2,4,0.80635118
1,3,1,28.76,1,0,14.4542,1,9,0.809711266
1,3,1,28.76,1,0,15.5,3,9,0.811518331
1,2,2,29,0,0,10.5,2,4,0.804019203
1,3,2,22,0,0,7.125,2,9,0.800587812
1,3,2,30,0,0,7.225,1,9,0.800670591
1,1,2,44,2,0,90,3,1,1.264912701
1,3,1,25,0,0,7.775,2,9,0.801146497
1,2,1,24,0,2,14.5,2,4,0.809787763
1,1,2,37,1,1,52.5542,2,1,0.956983751
1,2,2,54,1,0,26,2,4,0.83665483
1,3,2,28.76,0,0,7.25,2,9,0.800691465
1,3,1,29,1,1,10.4625,2,9,0.803973857
1,1,2,62,0,0,26.55,2,1,0.838322088
1,3,2,30,1,0,16.1,2,9,0.81261205
1,3,1,41,0,2,20.2125,2,9,0.821226537
1,3,1,29,0,2,15.2458,1,9,0.811067484
1,1,1,28.76,0,0,79.2,1,1,1.159500349
1,1,1,30,0,0,86.5,2,1,1.229277423
1,1,1,35,0,0,512.3292,1,1,15.93904458
1,2,1,50,0,1,26,2,4,0.83665483
1,3,2,28.76,0,0,7.75,3,9,0.801124107
1,3,2,3,4,2,31.3875,2,9,0.854489783
1,1,2,52,1,1,79.65,2,1,1.163623859
1,1,2,40,0,0,0,2,1,0.797659366
1,3,1,28.76,0,0,7.75,3,9,0.801124107
1,2,2,36,0,0,10.5,2,4,0.804019203
1,3,2,16,4,1,39.6875,2,9,0.888519815
1,3,2,25,1,0,7.775,2,9,0.801146497
1,1,1,58,0,1,153.4625,2,1,2.156197797
1,1,1,35,0,0,135.6333,2,1,1.858866223
1,1,2,28.76,0,0,31,2,1,0.853095225
1,3,2,25,0,0,0,2,9,0.797659366
1,2,1,41,0,1,19.5,2,4,0.819594315
1,1,2,37,0,1,29.7,1,1,0.848543254
1,3,1,28.76,0,0,7.75,3,9,0.801124107
1,1,1,63,1,0,77.9583,2,1,1.148243382
1,3,1,45,0,0,7.75,2,9,0.801124107
1,2,2,28.76,0,0,0,2,4,0.797659366
1,3,2,7,4,1,29.125,3,9,0.846592075
1,3,1,35,1,1,20.25,2,9,0.821314066
1,3,2,65,0,0,7.75,3,9,0.801124107
1,3,2,28,0,0,7.8542,2,9,0.801217902
1,3,2,16,0,0,9.5,2,9,0.802865491
1,3,2,19,0,0,8.05,2,9,0.801397537
1,1,2,28.76,0,0,26,2,1,0.83665483
1,3,2,33,0,0,8.6625,1,9,0.80198803
1,3,2,30,0,0,9.5,2,9,0.802865491
1,3,2,22,0,0,7.8958,2,9,0.801255697
1,2,2,42,0,0,13,2,4,0.807408232
1,3,1,22,0,0,7.75,3,9,0.801124107
1,1,1,26,0,0,78.85,2,1,1.156309326
1,1,1,19,1,0,91.0792,1,1,1.276185659
1,2,2,36,0,0,12.875,1,4,0.807221655
1,3,1,24,0,0,8.85,2,9,0.802177446
1,3,2,24,0,0,7.8958,2,9,0.801255697
1,1,2,28.76,0,0,27.7208,1,1,0.841987445
1,3,2,23.5,0,0,7.2292,1,9,0.800674092
1,1,1,2,1,2,151.55,2,1,2.122547688
1,1,2,28.76,0,0,30.5,2,1,0.851321393
1,1,1,50,0,1,247.5208,1,1,4.331856664
1,3,1,28.76,0,0,7.75,3,9,0.801124107
1,3,2,28.76,2,0,23.25,3,9,0.828842037
1,3,2,19,0,0,0,2,9,0.797659366
1,2,1,28.76,0,0,12.35,3,4,0.806457718
1,3,2,28.76,0,0,8.05,2,9,0.801397537
1,1,2,0.92,1,2,151.55,2,1,2.122547688
1,1,1,28.76,0,0,110.8833,1,1,1.506909907
1,1,1,17,1,0,108.9,1,1,1.481764973
1,2,2,30,1,0,24,1,4,0.83088627
1,1,1,30,0,0,56.9292,1,1,0.984614568
1,1,1,24,0,0,83.1583,1,1,1.196572739
1,1,1,18,2,2,262.375,1,1,4.768772809
1,2,1,26,1,1,26,2,4,0.83665483
1,3,2,28,0,0,7.8958,2,9,0.801255697
1,2,2,43,1,1,26.25,2,4,0.837408348
1,3,1,26,0,0,7.8542,2,9,0.801217902
1,2,1,24,1,0,26,2,4,0.83665483
1,2,2,54,0,0,14,2,4,0.808965743
1,1,1,31,0,2,164.8667,2,1,2.365613234
1,1,1,40,1,1,134.5,1,1,1.841206235
1,3,2,22,0,0,7.25,2,9,0.800691465
1,3,2,27,0,0,7.8958,2,9,0.801255697
1,2,1,30,0,0,12.35,3,4,0.806457718
1,2,1,22,1,1,29,2,4,0.846172953
1,3,2,28.76,8,2,69.55,2,9,1.07669628
1,1,1,36,0,0,135.6333,1,1,1.858866223
1,3,2,61,0,0,6.2375,2,9,0.799903706
1,2,1,36,0,0,13,2,4,0.807408232
1,3,1,31,1,1,20.525,2,9,0.821960902
1,1,1,16,0,1,57.9792,1,1,0.991574555
1,3,1,28.76,2,0,23.25,3,9,0.828842037
1,1,2,45.5,0,0,28.5,2,1,0.844514492
1,1,2,38,0,1,153.4625,2,1,2.156197797
1,3,2,16,2,0,18,2,9,0.8163495
1,1,1,28.76,1,0,133.65,2,1,1.828058101
1,3,2,28.76,0,0,7.8958,2,9,0.801255697
1,1,2,29,1,0,66.6,2,1,1.053527292
1,1,1,41,0,0,134.5,1,1,1.841206235
1,3,2,45,0,0,8.05,2,9,0.801397537
1,1,2,45,0,0,35.5,2,1,0.87035764
1,2,2,2,1,1,26,2,4,0.83665483
1,1,1,24,3,2,263,2,1,4.787714415
1,2,2,28,0,0,13,2,4,0.807408232
1,2,2,25,0,0,13,2,4,0.807408232
1,2,2,36,0,0,13,2,4,0.807408232
1,2,1,24,0,0,13,2,4,0.807408232
1,2,1,40,0,0,13,2,4,0.807408232
1,3,1,28.76,1,0,16.1,2,9,0.81261205
1,3,2,3,1,1,15.9,2,9,0.812242862
1,3,2,42,0,0,8.6625,2,9,0.80198803
1,3,2,23,0,0,9.225,2,9,0.802568447
1,1,2,28.76,0,0,35,2,1,0.868324222
1,3,2,15,1,1,7.2292,1,9,0.800674092
1,3,2,25,1,0,17.8,2,9,0.815936471
1,3,2,28.76,0,0,7.225,1,9,0.800670591
1,3,2,28,0,0,9.5,2,9,0.802865491
1,1,1,22,0,1,55,2,1,0.972158297
1,2,1,38,0,0,13,2,4,0.807408232
1,3,1,28.76,0,0,7.8792,3,9,0.801240592
1,3,1,28.76,0,0,7.8792,3,9,0.801240592
1,3,2,40,1,4,27.9,2,9,0.842562412
1,2,2,29,1,0,27.7208,1,4,0.841987445
1,3,1,45,0,1,14.4542,1,9,0.809711266
1,3,2,35,0,0,7.05,2,9,0.800526485
1,3,2,28.76,1,0,15.5,3,9,0.811518331
1,3,2,30,0,0,7.25,2,9,0.800691465
1,1,1,60,1,0,75.25,1,1,1.124307664
1,3,1,28.76,0,0,7.2292,1,9,0.800674092
1,3,1,28.76,0,0,7.75,3,9,0.801124107
1,1,1,24,0,0,69.3,1,1,1.074693868
1,1,2,25,1,0,55.4417,1,1,0.974972321
1,3,2,18,1,0,6.4958,2,9,0.800093434
1,3,2,19,0,0,8.05,2,9,0.801397537
1,1,2,22,0,0,135.6333,1,1,1.858866223
1,3,1,3,3,1,21.075,2,9,0.823280749
1,1,1,28.76,1,0,82.1708,1,1,1.187154845
1,3,1,22,0,0,7.25,2,9,0.800691465
1,1,2,27,0,2,211.5,1,1,3.378065906
1,3,2,20,0,0,4.0125,1,9,0.798588113
1,3,2,19,0,0,7.775,2,9,0.801146497
1,1,1,42,0,0,227.525,1,1,3.783905748
1,3,1,1,0,2,15.7417,1,9,0.811953922
1,3,2,32,0,0,7.925,2,9,0.801282346
1,1,1,35,1,0,52,2,1,0.95364122
1,3,2,28.76,0,0,7.8958,2,9,0.801255697
1,2,2,18,0,0,73.5,2,4,1.109291382
1,3,2,1,5,2,46.9,2,9,0.924545182
1,2,1,36,0,0,13,2,4,0.807408232
1,3,2,28.76,0,0,7.7292,3,9,0.801105535
1,2,1,17,0,0,12,1,4,0.805966092
1,1,2,36,1,2,120,2,1,1.628331961
1,3,2,21,0,0,7.7958,2,9,0.801165179
1,3,2,28,2,0,7.925,2,9,0.801282346
1,1,1,23,1,0,113.275,1,1,1.537836275
1,3,1,24,0,2,16.7,2,9,0.813747302
1,3,2,22,0,0,7.7958,2,9,0.801165179
1,3,1,31,0,0,7.8542,2,9,0.801217902
1,2,2,46,0,0,26,2,4,0.83665483
1,2,2,23,0,0,10.5,2,4,0.804019203
1,2,1,28,0,0,12.65,2,4,0.80689036
1,3,2,39,0,0,7.925,2,9,0.801282346
1,3,2,26,0,0,8.05,2,9,0.801397537
1,3,1,21,1,0,9.825,2,9,0.803227793
1,3,2,28,1,0,15.85,2,9,0.812151286
1,3,1,20,0,0,8.6625,2,9,0.80198803
1,2,2,34,1,0,21,2,4,0.823098715
1,3,2,51,0,0,7.75,2,9,0.801124107
1,2,2,3,1,1,18.75,2,4,0.817939459
1,3,2,21,0,0,7.775,2,9,0.801146497
1,3,1,28.76,3,1,25.4667,2,9,0.835071522
1,3,2,28.76,0,0,7.8958,2,9,0.801255697
1,3,2,28.76,0,0,6.8583,3,9,0.800372682
1,1,1,33,1,0,90,3,1,1.264912701
1,2,2,28.76,0,0,0,2,4,0.797659366
1,3,2,44,0,0,7.925,2,9,0.801282346
1,3,1,28.76,0,0,8.05,2,9,0.801397537
1,2,1,34,1,1,32.5,2,4,0.858589778
1,2,1,18,0,2,13,2,4,0.807408232
1,2,2,30,0,0,13,2,4,0.807408232
1,3,1,10,0,2,24.15,2,9,0.831302904
1,3,2,28.76,0,0,7.8958,1,9,0.801255697
1,3,2,21,0,0,7.7333,3,9,0.801109192
1,3,2,29,0,0,7.875,2,9,0.801236775
1,3,1,28,1,1,14.4,2,9,0.809621052
1,3,2,18,1,1,20.2125,2,9,0.821226537
1,3,2,28.76,0,0,7.25,2,9,0.800691465
1,2,1,28,1,0,26,2,4,0.83665483
1,2,1,19,0,0,26,2,4,0.83665483
1,3,2,28.76,0,0,7.75,3,9,0.801124107
1,3,2,32,0,0,8.05,2,9,0.801397537
1,1,2,28,0,0,26.55,2,1,0.838322088
1,3,1,28.76,1,0,16.1,2,9,0.81261205
1,2,1,42,1,0,26,2,4,0.83665483
1,3,2,17,0,0,7.125,2,9,0.800587812
1,1,2,50,1,0,55.9,2,1,0.977915896
1,1,1,14,1,2,120,2,1,1.628331961
1,3,1,21,2,2,34.375,2,9,0.865823011
1,2,1,24,2,3,18.75,2,4,0.817939459
1,1,2,64,1,4,263,2,1,4.787714415
1,2,2,31,0,0,10.5,2,4,0.804019203
1,2,1,45,1,1,26.25,2,4,0.837408348
1,3,2,20,0,0,9.5,2,9,0.802865491
1,3,2,25,1,0,7.775,2,9,0.801146497
1,2,1,28,0,0,13,2,4,0.807408232
